0,YCoord,NAME,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST
119,0.36974790,1,0.015182,0.247164,0.046401,5.349637,5.349637,300.348150
120,9.24369748,1,0.015232,0.323798,0.059995,5.883408,5.883408,300.878524
121,18.11764706,0,0.014497,0.025059,0.082258,7.323095,7.323095,299.417741
122,19.22689076,0,0.014019,0.045489,0.099264,6.263560,6.263560,299.167594
123,28.10084034,0,0.015040,0.206362,0.028660,5.875401,5.875401,294.540613
124,15.52941176,1,0.016233,0.367264,0.034108,7.943264,7.943264,299.304448
125,24.40336134,1,0.015785,0.169205,0.216343,6.644343,6.644343,297.128815
126,29.94957983,0,0.014732,0.263458,0.133777,5.573850,5.573850,293.772123
127,29.94957983,0,0.014732,0.263458,0.133777,5.573850,5.573850,293.772123
128,29.94957983,0,0.014732,0.263458,0.133777,5.573850,5.573850,293.772123
129,29.94957983,0,0.014732,0.263458,0.133777,5.573850,5.573850,293.772123
130,29.94957983,0,0.014732,0.263458,0.133777,5.573850,5.573850,293.772123
131,38.82352941,0,0.015828,0.499357,0.200457,6.338157,6.338157,286.540899
132,-18.48739496,1,0.013869,0.110190,0.074176,6.045247,6.045247,300.321080
133,-9.61344538,1,0.014254,0.263205,0.029278,6.660569,6.660569,301.677593
134,-0.73949580,1,0.015361,0.241435,0.040281,5.809022,5.809022,300.010276
135,0.36974790,1,0.014388,0.215692,0.040239,5.476705,5.476705,299.624777
136,9.24369748,1,0.015443,0.324453,0.097515,5.192013,5.192013,300.381737
137,-3.32773109,1,0.014959,0.216704,0.106396,6.950740,6.950740,299.446817
138,5.54621849,1,0.013708,0.406355,0.099242,5.240059,5.240059,300.422844
139,11.09243697,1,0.016134,0.339512,0.034748,5.375135,5.375135,300.146127
140,11.09243697,1,0.016134,0.339512,0.034748,5.375135,5.375135,300.146127
141,11.09243697,1,0.016134,0.339512,0.034748,5.375135,5.375135,300.146127
142,11.09243697,1,0.016134,0.339512,0.034748,5.375135,5.375135,300.146127
143,11.09243697,1,0.016134,0.339512,0.034748,5.375135,5.375135,300.146127
144,19.96638655,1,0.015814,0.179651,0.070785,7.163364,7.163364,298.127902
145,-12.94117647,0,0.013287,0.717102,0.051316,7.870985,7.870985,301.611923
146,8.13445378,0,0.015106,0.449805,0.118210,4.967167,4.967167,301.826980
147,-23.66386555,1,0.012328,0.305391,0.168471,7.175586,7.175586,296.569867
148,-14.78991597,0,0.014371,0.356312,0.059004,6.420973,6.420973,301.454014
149,-5.91596639,0,0.014074,0.593015,0.059878,5.117416,5.117416,302.704752
150,2.95798319,0,0.013455,0.826354,0.055965,4.026482,4.026482,302.397958
151,-29.94957983,0,0.012411,0.275928,0.190776,7.969605,7.969605,294.585730
152,-21.07563025,0,0.013358,0.362532,0.106706,7.674587,7.674587,298.433192
153,-12.20168067,0,0.013361,0.615350,0.072054,7.015012,7.015012,302.650111
154,-3.32773109,0,0.013227,0.850461,0.051295,3.450987,3.450987,303.140380
155,-3.32773109,0,0.013227,0.850461,0.051295,3.450987,3.450987,303.140380
156,-3.32773109,0,0.013227,0.850461,0.051295,3.450987,3.450987,303.140380
157,-3.32773109,0,0.013227,0.850461,0.051295,3.450987,3.450987,303.140380
158,5.54621849,0,0.014492,0.877915,0.106077,3.353420,3.353420,302.334794
159,12.57142857,0,0.015667,0.230275,0.061925,5.737164,5.737164,301.190331
160,-4.06722689,0,0.013203,0.829569,0.052670,3.704913,3.704913,303.046638
161,17.00840336,0,0.015533,0.100279,0.138841,6.947790,6.947790,299.971676
162,-14.78991597,1,0.014603,0.433898,0.045804,5.678160,5.678160,301.564299
163,-5.91596639,1,0.015805,0.375686,0.056029,6.041875,6.041875,301.915709
164,2.95798319,0,0.014477,0.644293,0.046678,4.705866,4.705866,301.601395
165,11.83193277,0,0.015035,0.185723,0.073227,7.201505,7.201505,300.798817
166,-21.07563025,1,0.013908,0.360285,0.108305,6.602198,6.602198,298.054211
167,-12.20168067,0,0.015022,0.403483,0.045911,5.955266,5.955266,302.086652
168,-3.32773109,0,0.014375,0.708874,0.054568,5.045769,5.045769,302.660137
169,5.54621849,0,0.013872,0.789347,0.060731,4.020582,4.020582,301.912701
170,5.54621849,0,0.013872,0.789347,0.060731,4.020582,4.020582,301.912701
171,5.54621849,0,0.013872,0.789347,0.060731,4.020582,4.020582,301.912701
172,5.54621849,0,0.013872,0.789347,0.060731,4.020582,4.020582,301.912701
173,14.42016807,0,0.015657,0.198639,0.096662,6.163675,6.163675,300.845438
174,21.44537815,0,0.014541,0.037543,0.078952,5.493985,5.493985,298.728457
175,-0.36974790,0,0.013539,0.941455,0.079038,2.511145,2.511145,303.289767
176,20.70588235,0,0.014774,0.033526,0.084411,6.070323,6.070323,298.925467
177,-11.09243697,1,0.014674,0.430907,0.044557,6.012584,6.012584,302.247067
178,-2.21848739,0,0.014769,0.510994,0.044866,5.253967,5.253967,301.684110
179,6.65546218,0,0.014196,0.581482,0.073323,4.717877,4.717877,301.478076
180,15.52941176,0,0.015536,0.216227,0.144055,7.016276,7.016276,300.306543
181,-17.37815126,0,0.014334,0.277475,0.073909,6.825990,6.825990,300.330605
182,-8.50420168,0,0.013977,0.529609,0.056306,5.671628,5.671628,302.730319
183,0.36974790,0,0.013173,0.784942,0.042211,4.291787,4.291787,302.710768
184,9.24369748,0,0.016011,0.226465,0.109904,5.698811,5.698811,301.718699
185,9.24369748,0,0.016011,0.226465,0.109904,5.698811,5.698811,301.718699
186,9.24369748,0,0.016011,0.226465,0.109904,5.698811,5.698811,301.718699
187,9.24369748,0,0.016011,0.226465,0.109904,5.698811,5.698811,301.718699
188,18.11764706,0,0.014623,0.049463,0.090595,5.628429,5.628429,299.896481
189,25.14285714,0,0.014594,0.102065,0.088943,5.006363,5.006363,297.390492
