0,YCoord,ID,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST,POINT_X,POINT_Y
56,-89.00000000,0,0.018000,0.286165,0.380528,5.119523,5.119523,,-69.000000,-89.000000
57,-89.00000000,0,0.018000,0.285168,0.381178,5.106879,5.106879,,-67.000000,-89.000000
58,-89.00000000,0,0.018000,0.283680,0.382159,5.087703,5.087703,,-65.000000,-89.000000
59,-89.00000000,0,0.018000,0.281582,0.382202,5.071688,5.071688,,-63.000000,-89.000000
60,-89.00000000,0,0.018000,0.279365,0.382021,5.056094,5.056094,,-61.000000,-89.000000
61,-89.00000000,0,0.018000,0.277773,0.381200,5.047454,5.047454,,-59.000000,-89.000000
62,-89.00000000,0,0.018000,0.275258,0.378918,5.037339,5.037339,,-57.000000,-89.000000
63,-89.00000000,0,0.018000,0.273577,0.377415,5.030596,5.030596,,-55.000000,-89.000000
64,-89.00000000,0,0.018000,0.271062,0.375133,5.020271,5.020271,,-53.000000,-89.000000
65,-89.00000000,0,0.018000,0.268562,0.372862,5.010156,5.010156,,-51.000000,-89.000000
66,-89.00000000,0,0.018000,0.267104,0.371647,5.004887,5.004887,,-49.000000,-89.000000
67,-89.00000000,0,0.018000,0.265154,0.370090,4.998776,4.998776,,-47.000000,-89.000000
68,-89.00000000,0,0.018000,0.263220,0.368533,4.992665,4.992665,,-45.000000,-89.000000
69,-89.00000000,0,0.018000,0.261895,0.367488,4.988662,4.988662,,-43.000000,-89.000000
70,-89.00000000,0,0.018000,0.259961,0.365932,4.982550,4.982550,,-41.000000,-89.000000
71,-89.00000000,0,0.018000,0.258101,0.365591,4.979179,4.979179,,-39.000000,-89.000000
72,-89.00000000,0,0.018000,0.256925,0.366337,4.979179,4.979179,,-37.000000,-89.000000
73,-89.00000000,0,0.018000,0.255303,0.367307,4.979600,4.979600,,-35.000000,-89.000000
74,-89.00000000,0,0.018000,0.253979,0.368021,4.981075,4.981075,,-33.000000,-89.000000
75,-89.00000000,0,0.018000,0.253086,0.368501,4.981918,4.981918,,-31.000000,-89.000000
76,-89.00000000,0,0.018000,0.251762,0.369216,4.983393,4.983393,,-29.000000,-89.000000
77,-89.00000000,0,0.018000,0.250408,0.369930,4.984868,4.984868,,-27.000000,-89.000000
78,-89.00000000,0,0.018000,0.249530,0.370420,4.985711,4.985711,,-25.000000,-89.000000
79,-89.00000000,0,0.018000,0.248205,0.371135,4.987186,4.987186,,-23.000000,-89.000000
80,-89.00000000,0,0.018000,0.246955,0.371998,4.988451,4.988451,,-21.000000,-89.000000
81,-89.00000000,0,0.018000,0.246241,0.372478,4.990558,4.990558,,-19.000000,-89.000000
82,-89.00000000,0,0.018000,0.245200,0.372084,4.999198,4.999198,,-17.000000,-89.000000
83,-89.00000000,0,0.018000,0.244128,0.371689,5.007838,5.007838,,-15.000000,-89.000000
84,-89.00000000,0,0.018000,0.243429,0.371433,5.013738,5.013738,,-13.000000,-89.000000
85,-89.00000000,0,0.018000,0.242357,0.371050,5.022589,5.022589,,-11.000000,-89.000000
86,-89.00000000,0,0.018000,0.241301,0.370655,5.031439,5.031439,,-9.000000,-89.000000
87,-89.00000000,0,0.018000,0.240587,0.370388,5.037129,5.037129,,-7.000000,-89.000000
88,-89.00000000,0,0.018000,0.239887,0.370314,5.044926,5.044926,,-5.000000,-89.000000
89,-89.00000000,0,0.018000,0.239247,0.370303,5.052723,5.052723,,-3.000000,-89.000000
90,-89.00000000,0,0.018000,0.238816,0.370282,5.058201,5.058201,,-1.000000,-89.000000
91,-89.00000000,0,0.018000,0.238414,0.369909,5.071477,5.071477,,1.000000,-89.000000
92,-89.00000000,0,0.018000,0.238459,0.369344,5.083278,5.083278,,3.000000,-89.000000
93,-89.00000000,0,0.018000,0.238489,0.368970,5.091496,5.091496,,5.000000,-89.000000
94,-89.00000000,0,0.018000,0.238637,0.368437,5.103086,5.103086,,7.000000,-89.000000
95,-89.00000000,0,0.018000,0.239247,0.368000,5.113833,5.113833,,9.000000,-89.000000
96,-89.00000000,0,0.018000,0.239664,0.367702,5.121209,5.121209,,11.000000,-89.000000
97,-89.00000000,0,0.018000,0.240274,0.367264,5.131956,5.131956,,13.000000,-89.000000
98,-89.00000000,0,0.018000,0.240899,0.366817,5.142703,5.142703,,15.000000,-89.000000
99,-89.00000000,0,0.018000,0.241316,0.366529,5.149657,5.149657,,17.000000,-89.000000
100,-89.00000000,0,0.018000,0.241926,0.366092,5.160404,5.160404,,19.000000,-89.000000
101,-89.00000000,0,0.018000,0.243072,0.366763,5.172205,5.172205,,21.000000,-89.000000
102,-89.00000000,0,0.018000,0.243994,0.366603,5.178527,5.178527,,23.000000,-89.000000
103,-89.00000000,0,0.018000,0.245393,0.366390,5.188009,5.188009,,25.000000,-89.000000
104,-89.00000000,0,0.018000,0.246777,0.366166,5.197913,5.197913,,27.000000,-89.000000
105,-89.00000000,0,0.018000,0.247700,0.366017,5.204235,5.204235,,29.000000,-89.000000
106,-89.00000000,0,0.018000,0.249083,0.365782,5.213929,5.213929,,31.000000,-89.000000
107,-89.00000000,0,0.018000,0.250467,0.365569,5.223411,5.223411,,33.000000,-89.000000
108,-89.00000000,0,0.018000,0.251405,0.365420,5.230155,5.230155,,35.000000,-89.000000
109,-89.00000000,0,0.018000,0.252446,0.365420,5.237530,5.237530,,37.000000,-89.000000
110,-89.00000000,0,0.018000,0.253295,0.365537,5.244484,5.244484,,39.000000,-89.000000
111,-89.00000000,0,0.018000,0.254039,0.366124,5.247434,5.247434,,41.000000,-89.000000
112,-89.00000000,0,0.018000,0.255229,0.367126,5.251649,5.251649,,43.000000,-89.000000
113,-89.00000000,0,0.018000,0.256419,0.368149,5.255442,5.255442,,45.000000,-89.000000
114,-89.00000000,0,0.018000,0.257208,0.368821,5.258181,5.258181,,47.000000,-89.000000
115,-89.00000000,0,0.018000,0.258399,0.369845,5.261974,5.261974,,49.000000,-89.000000
116,-89.00000000,0,0.018000,0.260050,0.371199,5.265135,5.265135,,51.000000,-89.000000
117,-89.00000000,0,0.018000,0.261375,0.372254,5.267243,5.267243,,53.000000,-89.000000
118,-89.00000000,0,0.018000,0.263339,0.373843,5.269561,5.269561,,55.000000,-89.000000
119,-89.00000000,0,0.018000,0.265303,0.375432,5.272300,5.272300,,57.000000,-89.000000
120,-89.00000000,0,0.018000,0.266613,0.376498,5.273986,5.273986,,59.000000,-89.000000
121,-89.00000000,0,0.018000,0.268800,0.376338,5.275461,5.275461,,61.000000,-89.000000
122,-89.00000000,0,0.018000,0.271092,0.375325,5.276515,5.276515,,63.000000,-89.000000
123,-89.00000000,0,0.018000,0.272624,0.374547,5.277357,5.277357,,65.000000,-89.000000
124,-89.00000000,0,0.018000,0.274975,0.373065,5.280940,5.280940,,67.000000,-89.000000
125,-89.00000000,0,0.018000,0.277312,0.371583,5.284311,5.284311,,69.000000,-89.000000
126,-89.00000000,0,0.018000,0.278874,0.370602,5.286629,5.286629,,71.000000,-89.000000
127,-89.00000000,0,0.018000,0.281210,0.369130,5.290212,5.290212,,73.000000,-89.000000
128,-89.00000000,0,0.018000,0.283561,0.367648,5.293583,5.293583,,75.000000,-89.000000
129,-89.00000000,0,0.018000,0.285109,0.366667,5.295691,5.295691,,77.000000,-89.000000
130,-89.00000000,0,0.018000,0.287386,0.365207,5.299062,5.299062,,79.000000,-89.000000
131,-89.00000000,0,0.018000,0.288338,0.364578,5.301591,5.301591,,81.000000,-89.000000
132,-89.00000000,0,0.018000,0.289633,0.363874,5.304752,5.304752,,83.000000,-89.000000
133,-89.00000000,0,0.018000,0.290897,0.363160,5.308124,5.308124,,85.000000,-89.000000
134,-89.00000000,0,0.018000,0.291746,0.362701,5.310231,5.310231,,87.000000,-89.000000
135,-89.00000000,0,0.018000,0.293010,0.361987,5.313392,5.313392,,89.000000,-89.000000
136,-89.00000000,0,0.018000,0.294290,0.361283,5.316553,5.316553,,91.000000,-89.000000
137,-89.00000000,0,0.018000,0.295153,0.360814,5.318660,5.318660,,93.000000,-89.000000
138,-89.00000000,0,0.018000,0.296820,0.359769,5.320556,5.320556,,95.000000,-89.000000
139,-89.00000000,0,0.018000,0.298635,0.358639,5.321821,5.321821,,97.000000,-89.000000
140,-89.00000000,0,0.018000,0.299855,0.357882,5.322874,5.322874,,99.000000,-89.000000
141,-89.00000000,0,0.018000,0.301358,0.357210,5.326668,5.326668,,101.000000,-89.000000
142,-89.00000000,0,0.018000,0.302638,0.356901,5.332779,5.332779,,103.000000,-89.000000
143,-89.00000000,0,0.018000,0.303501,0.356709,5.336993,5.336993,,105.000000,-89.000000
144,-89.00000000,0,0.018000,0.304781,0.356400,5.343104,5.343104,,107.000000,-89.000000
145,-89.00000000,0,0.018000,0.305793,0.355909,5.350269,5.350269,,109.000000,-89.000000
146,-89.00000000,0,0.018000,0.306373,0.355515,5.355116,5.355116,,111.000000,-89.000000
147,-89.00000000,0,0.018000,0.307251,0.354918,5.362491,5.362491,,113.000000,-89.000000
148,-89.00000000,0,0.018000,0.308114,0.354321,5.369867,5.369867,,115.000000,-89.000000
149,-89.00000000,0,0.018000,0.308694,0.353926,5.374924,5.374924,,117.000000,-89.000000
150,-89.00000000,0,0.018000,0.309572,0.353329,5.382510,5.382510,,119.000000,-89.000000
151,-89.00000000,0,0.018000,0.310480,0.352007,5.393468,5.393468,,121.000000,-89.000000
152,-89.00000000,0,0.018000,0.310926,0.350941,5.403583,5.403583,,123.000000,-89.000000
153,-89.00000000,0,0.018000,0.311194,0.349416,5.422127,5.422127,,125.000000,-89.000000
154,-89.00000000,0,0.018000,0.311432,0.347902,5.440671,5.440671,,127.000000,-89.000000
155,-89.00000000,0,0.018000,0.311596,0.346889,5.453314,5.453314,,129.000000,-89.000000
156,-89.00000000,0,0.018000,0.311864,0.345386,5.471858,5.471858,,131.000000,-89.000000
157,-89.00000000,0,0.018000,0.312102,0.343861,5.490613,5.490613,,133.000000,-89.000000
158,-89.00000000,0,0.018000,0.312266,0.342848,5.502835,5.502835,,135.000000,-89.000000
159,-89.00000000,0,0.018000,0.312489,0.341334,5.522222,5.522222,,137.000000,-89.000000
